Code,Scientific.name,DBH,DBHClass,Native
Y45,Abies balsamea,5,Small,Yes
Y45,Abies balsamea,7,Small,Yes
Y45,Abies balsamea,8,Small,Yes
Y45,Abies balsamea,9,MedSmall,Yes
Y28,Acer Freemannii,56,Large,Yes
S18,Acer ginnala ,5,Small,No
S09,Acer negundo,22,MedLarge,Yes
Y27,Acer negundo,29,Large,Yes
Y33,Acer negundo,31,Large,Yes
Y04,Acer negundo,34,Large,Yes
Y04,Acer negundo,36,Large,Yes
Y33,Acer negundo,42,Large,Yes
Y04,Acer negundo,53,Large,Yes
Y04,Acer negundo,66,Large,Yes
S17,Acer nigrum,23,MedLarge,Yes
Y04,Acer palmatum,6,Small,No
Y33,Acer palmatum,6,Small,No
Y13,Acer palmatum,7,Small,No
Y04,Acer palmatum,8,Small,No
Y13,Acer palmatum,8,Small,No
Y04,Acer palmatum,9,MedSmall,No
Y49,Acer palmatum,11,MedSmall,No
Y13,Acer palmatum,36,Large,No
Y04,Acer platanoides,5,Small,No
Y31,Acer platanoides,7,Small,No
S19,Acer platanoides,12,MedSmall,No
Y06,Acer platanoides,14,MedSmall,No
Y28,Acer platanoides,14,MedSmall,No
S21,Acer platanoides,15,MedLarge,No
S05,Acer platanoides,16,MedLarge,No
Y04,Acer platanoides,16,MedLarge,No
Y06,Acer platanoides,16,MedLarge,No
Y31,Acer platanoides,17,MedLarge,No
Y31,Acer platanoides,17,MedLarge,No
S20,Acer platanoides,18,MedLarge,No
S10,Acer platanoides,20,MedLarge,No
Y04,Acer platanoides,20,MedLarge,No
Y06,Acer platanoides,21,MedLarge,No
S05,Acer platanoides,22,MedLarge,No
Y09,Acer platanoides,26,MedLarge,No
Y31,Acer platanoides,31,Large,No
S09,Acer platanoides,33,Large,No
Y18,Acer platanoides,33,Large,No
S10,Acer platanoides,35,Large,No
S17,Acer platanoides,35,Large,No
S20,Acer platanoides,35,Large,No
Y28,Acer platanoides,35,Large,No
S05,Acer platanoides,38,Large,No
S20,Acer platanoides,38,Large,No
S03,Acer platanoides,40,Large,No
Y31,Acer platanoides,40,Large,No
Y31,Acer platanoides,40,Large,No
S10,Acer platanoides,42,Large,No
Y49,Acer platanoides,43,Large,No
S19,Acer platanoides,47,Large,No
S06,Acer platanoides,50,Large,No
S16,Acer platanoides,50,Large,No
S16,Acer platanoides,50,Large,No
S08,Acer platanoides,51,Large,No
