Code,Date ,Start Time,End Time,Temperature (°C),Cloud Cover code,Beaufort scale ,Day of Week ,Species ,Bird Scientific Name ,Behaviour,Time of Observation,Plant species,Scientific.name,DBH,DBHClass,Native,BehaviourType,Type
Y28,12/07/2024,10:16,10:36,23,4,2,Friday ,BCCH,Poecile atricapillus,Perch,10:27,Trumpet honeysuckle, Lonicera sempervirens,NA,,No,Rest,Yard
Y45,31/05/2024,9:38,9:58,18,1,2,Friday ,HOSP,Passer domesticus,Peck,9:47,Balsam fir,Abies balsamea,5,Small,Yes,Foraging,Yard
Y45,21/06/2024,6:56,7:16,20,1,3,Friday ,HOSP,Passer domesticus,Vocalize,7:11,Balsam fir,Abies balsamea,8,Small,Yes,Territory_defense,Yard
Y33,15/05/2024,8:09,8:29,13,4,3,Wednesday,HOSP,Passer domesticus,Vocalize,9:23,Manitoba maple,Acer negundo,30,Large,Yes,Territory_defense,Yard
Y33,15/05/2024,8:09,8:29,13,4,3,Wednesday,AMRO,Turdus migratorius,Vocalize,8:26,Manitoba maple,Acer negundo,30,Large,Yes,Territory_defense,Yard
Y33,12/07/2024,7:47,8:07,20,4,1,Friday ,EUST,Sturnus vulgaris,Perch,7:49,Manitoba maple,Acer negundo,30,Large,Yes,Rest,Yard
Y33,12/07/2024,7:47,8:07,20,4,1,Friday ,HOSP,Passer domesticus,Perch,8:00,Manitoba maple,Acer negundo,30,Large,Yes,Rest,Yard
Y33,12/07/2024,7:47,8:07,20,4,1,Friday ,HOSP,Passer domesticus,Bill wipe,8:00,Manitoba maple,Acer negundo,30,Large,Yes,Grooming,Yard
S09,08/07/2024,8:57,9:17,23,2,2,Monday,HOSP,Passer domesticus,Perch,8:59,Manitoba maple,Acer negundo,32,Large,Yes,Rest,Street
S09,08/07/2024,8:57,9:17,23,2,2,Monday,HOSP,Passer domesticus,Perch,8:59,Manitoba maple,Acer negundo,32,Large,Yes,Rest,Street
S09,08/07/2024,8:57,9:17,23,2,2,Monday,HOSP,Passer domesticus,Perch,9:02,Manitoba maple,Acer negundo,32,Large,Yes,Rest,Street
S09,08/07/2024,8:57,9:17,23,2,2,Monday,HOSP,Passer domesticus,Perch,9:09,Manitoba maple,Acer negundo,32,Large,Yes,Rest,Street
S09,08/07/2024,8:57,9:17,23,2,2,Monday,HOSP,Passer domesticus,Vocalize,9:10,Manitoba maple,Acer negundo,32,Large,Yes,Territory_defense,Street
S09,08/07/2024,8:57,9:17,23,2,2,Monday,HOSP,Passer domesticus,Vocalize,9:10,Manitoba maple,Acer negundo,32,Large,Yes,Territory_defense,Street
S09,08/07/2024,8:57,9:17,23,2,2,Monday,EUST,Sturnus vulgaris,Perch,9:17,Manitoba maple,Acer negundo,32,Large,Yes,Rest,Street
Y33,03/06/2024,8:57,9:17,21,1,2,Monday,BLJA,Cyanocitta cristata,Perch,9:04,Manitoba maple,Acer negundo,39,Large,Yes,Rest,Yard
Y33,03/06/2024,8:57,9:17,21,1,2,Monday,HOSP,Passer domesticus,Hop,9:06,Manitoba maple,Acer negundo,39,Large,Yes,Foraging,Yard
Y33,03/06/2024,8:57,9:17,21,1,2,Monday,HOSP,Passer domesticus,Perch,9:09,Manitoba maple,Acer negundo,39,Large,Yes,Rest,Yard
Y33,27/06/2024,8:13,8:33,15,3,2,Thursday,HOSP,Passer domesticus,Perch,8:17,Manitoba maple,Acer negundo,39,Large,Yes,Rest,Yard
Y33,27/06/2024,8:13,8:33,15,3,2,Thursday,HOSP,Passer domesticus,Perch,8:17,Manitoba maple,Acer negundo,39,Large,Yes,Rest,Yard
Y33,27/06/2024,8:13,8:33,15,3,2,Thursday,HOSP,Passer domesticus,Glean,8:23,Manitoba maple,Acer negundo,39,Large,Yes,Foraging,Yard
Y33,27/06/2024,8:13,8:33,15,3,2,Thursday,HOSP,Passer domesticus,Glean,8:24,Manitoba maple,Acer negundo,39,Large,Yes,Foraging,Yard
Y33,15/05/2024,8:09,8:29,13,4,3,Wednesday,HOSP,Passer domesticus,Vocalize,8:20,Manitoba maple,Acer negundo,42,Large,Yes,Territory_defense,Yard
Y33,15/05/2024,8:09,8:29,13,4,3,Wednesday,EUST,Sturnus vulgaris,Peck,8:21,Manitoba maple,Acer negundo,42,Large,Yes,Foraging,Yard
Y33,15/05/2024,8:09,8:29,13,4,3,Wednesday,LEFL,Empidonax minimus,Sally,8:24,Manitoba maple,Acer negundo,42,Large,Yes,Foraging,Yard
Y33,12/07/2024,7:47,8:07,20,4,1,Friday ,HOSP,Passer domesticus,Glean,7:53,Manitoba maple,Acer negundo,42,Large,Yes,Foraging,Yard
Y33,12/07/2024,7:47,8:07,20,4,1,Friday ,HOSP,Passer domesticus,Perch,8:00,Manitoba maple,Acer negundo,42,Large,Yes,Rest,Yard
Y33,12/07/2024,7:47,8:07,20,4,1,Friday ,HOSP,Passer domesticus,Bill wipe,8:00,Manitoba maple,Acer negundo,42,Large,Yes,Grooming,Yard
Y33,12/07/2024,7:47,8:07,20,4,1,Friday ,HOSP,Passer domesticus,Perch,8:02,Manitoba maple,Acer negundo,42,Large,Yes,Rest,Yard
Y33,12/07/2024,7:47,8:07,20,4,1,Friday ,HOSP,Passer domesticus,Perch,8:02,Manitoba maple,Acer negundo,42,Large,Yes,Rest,Yard
Y33,12/07/2024,7:47,8:07,20,4,1,Friday ,EUST,Sturnus vulgaris,Perch,8:06,Manitoba maple,Acer negundo,42,Large,Yes,Rest,Yard
Y33,27/06/2024,8:13,8:33,15,3,2,Thursday,HOSP,Passer domesticus,Glean,8:14,Manitoba maple,Acer negundo,52,Large,Yes,Foraging,Yard
Y33,27/06/2024,8:13,8:33,15,3,2,Thursday,HOSP,Passer domesticus,Perch,8:25,Manitoba maple,Acer negundo,52,Large,Yes,Rest,Yard
Y33,27/06/2024,8:13,8:33,15,3,2,Thursday,HOSP,Passer domesticus,Perch,8:30,Manitoba maple,Acer negundo,52,Large,Yes,Rest,Yard
Y33,27/06/2024,8:13,8:33,15,3,2,Thursday,YEWA,Setophaga petechia,Glean,8:32,Manitoba maple,Acer negundo,52,Large,Yes,Foraging,Yard
Y27,23/05/2024,9:25,9:45,21,4,4,Thursday,HOSP,Passer domesticus,Glean,9:27,Manitoba maple,Acer negundo,100,Large,Yes,Foraging,Yard
Y27,03/06/2024,7:57,8:17,21,1,2,Monday,EUST,Sturnus vulgaris,Perch,7:57,Manitoba maple,Acer negundo,106,Large,Yes,Rest,Yard
Y27,03/06/2024,7:57,8:17,21,1,2,Monday,EUST,Sturnus vulgaris,Peck,8:03,Manitoba maple,Acer negundo,106,Large,Yes,Foraging,Yard
Y27,03/06/2024,7:57,8:17,21,1,2,Monday,WBNU,Sitta carolinensis,Peck,8:05,Manitoba maple,Acer negundo,106,Large,Yes,Foraging,Yard
Y27,03/06/2024,7:57,8:17,21,1,2,Monday,EUST,Sturnus vulgaris,Perch,8:08,Manitoba maple,Acer negundo,106,Large,Yes,Rest,Yard
Y27,03/06/2024,7:57,8:17,21,1,2,Monday,EUST,Sturnus vulgaris,Perch,8:08,Manitoba maple,Acer negundo,106,Large,Yes,Rest,Yard
Y27,08/07/2024,8:33,8:53,23,2,2,Monday,EUST,Sturnus vulgaris,Vocalize,8:33,Manitoba maple,Acer negundo,106,Large,Yes,Territory_defense,Yard
Y27,08/07/2024,8:33,8:53,23,2,2,Monday,AMRO,Turdus migratorius,Perch,8:39,Manitoba maple,Acer negundo,106,Large,Yes,Rest,Yard
Y27,08/07/2024,8:33,8:53,23,2,2,Monday,AMRO,Turdus migratorius,Perch,8:41,Manitoba maple,Acer negundo,106,Large,Yes,Rest,Yard
Y49,23/05/2024,8:36,8:57,21,4,3,Thursday,HOFI,Haemorhous mexicanus,Perch,8:40,Japanese maple,Acer palmatum,5,Small,No,Rest,Yard
Y49,23/05/2024,8:36,8:57,21,4,3,Thursday,HOSP,Passer domesticus,Perch,8:50,Japanese maple,Acer palmatum,5,Small,No,Rest,Yard
