street code ,common name,scientific name,DBH
S01,Ginkgo,Ginkgo biloba,5
S01,Silver maple,Acer saccharinum,80
S01,Silver maple,Acer saccharinum,86
S01,Norway maple,Acer platanoides,55
S01,Silver maple,Acer saccharinum,74
S01,River birch,Betula nigra,8
S02,Skyline honey locust,Gleditsia triacanthos 'Skyline',5
S02,Prariefire crabapple,Malus x 'Prairifire',5
S02,Red oak,Quercus rubra,23
S02,American hop-hornbeam ironwood,Ostrya virginiana,6
S02,Common hackberry,Celtis occidentalis,8
S02,Silver maple,Acer saccharinum,70
S02,Silver maple,Acer saccharinum,98
S02,Red ash,Fraxinus pennsylvanica,60
S02,Red ash,Fraxinus pennsylvanica,49
S03,Norway maple,Acer platanoides,40
S03,Silver maple,Acer saccharinum,69
S03,Norway maple,Acer platanoides,73
S03,Blue beech,Carpinus caroliniana,5
S03,Morton elm,Ulmus x 'Morton',5
S04,Skyline honey locust,Gleditsia triacanthos 'Skyline',23
S04,Silver maple,Acer saccharinum,81
S04,Silver maple,Acer saccharinum,74
S04,Silver maple,Acer saccharinum,84
S04,Western catalpa,Catalpa speciosa,5
S04,Norway maple,Acer platanoides,64
S05,Norway maple,Acer platanoides,38
S05,Norway maple,Acer platanoides,22
S05,Ginkgo,Ginkgo biloba,5
S05,Cumulus Allegheny serviceberry,Amelanchier laevis 'Cumulus',5
S05,Norway maple,Acer platanoides,16
S05,Common buckeye,Aesculus octandra,5
S05,Celebration maple,Acer x freemanii Celebration,5
S06,English oak,Quercus robur,5
S06,European linden,Tilia cordata,53
S06,Norway maple,Acer platanoides,50
S06,European linden,Tilia cordata,84
S06,Common hackberry,Celtis occidentalis,27
S06,European linden,Tilia cordata,74
S07,Basswood,Tilia americana,54
S07,Blue spruce,Picea pungens,47
S07,Silver maple,Acer saccharinum,105
S07,Silver maple,Acer saccharinum,79
S07,Silver maple,Acer saccharinum,83
S07,Silver maple,Acer saccharinum,79
S07,Silver maple,Acer saccharinum,87
S08,Autumn blaze maple,Acer x freemanii 'Autumn Blaze',36
S08,Autumn blaze maple,Acer x freemanii 'Autumn Blaze',16
S08,Norway maple,Acer platanoides,72
S08,Armstrong maple,Acer x freemanii 'Armstrong',6
S08,Silver maple,Acer saccharinum,5
S08,Norway maple,Acer platanoides,82
S08,Norway maple,Acer platanoides,51
S08,Norway maple,Acer platanoides,77
S09,Paper birch,Betula papyrifera,5
S09,Norway maple,Acer platanoides,33
S09,Common hackberry,Celtis occidentalis,7
S09,Red ash,Fraxinus pennsylvanica,55
S09,Red ash,Fraxinus pennsylvanica,27
S09,Manitoba maple,Acer negundo ,22
S09,Red ash,Fraxinus pennsylvanica,15
S09,Red ash,Fraxinus pennsylvanica,54
S09,Red ash,Fraxinus pennsylvanica,80
S09,Red ash,Fraxinus pennsylvanica,45
S09,Norther acclaim honey locust,Gleditsia triacanthos 'Northern Acclaim',5
S10,Thornless honey-locust,Gleditsia triacanthos var. inermis,56
S10,Thornless honey-locust,Gleditsia triacanthos var. inermis,51
S10,Norway maple,Acer platanoides,42
S10,Norway maple,Acer platanoides,20
S10,Norway maple,Acer platanoides,35
S10,Silver maple,Acer saccharinum,74
S10,Silver maple,Acer saccharinum,82
S10,Ginkgo,Ginkgo biloba,4
S10,Silver maple,Acer saccharinum,105
S11,Colorado spruce,Picea pungens,12
S11,Colorado spruce,Picea pungens,12
S11,White elm,Ulmus americana,79
S11,Red maple,Acer rubrum,26
S11,Pioneer elm,Ulmus x hollandica 'Pioneer',5
S12,Silver maple,Acer saccharinum,105
S12,Silver maple,Acer saccharinum,76
S12,Silver maple,Acer saccharinum,46
S12,Silver maple,Acer saccharinum,59
S12,Silver maple,Acer saccharinum,63
S12,Silver maple,Acer saccharinum,64
S13,Norway maple,Acer platanoides,71
S13,Silver maple,Acer saccharinum,18
S13,Norway maple,Acer platanoides,56
S13,Common hackberry,Celtis occidentalis,5
S13,Norway maple,Acer platanoides,66
S14,European linden,Tilia cordata,52
S14,European linden,Tilia cordata,56
S14,European linden,Tilia cordata,66
S14,European linden,Tilia cordata,43
S14,Norway maple,Acer platanoides,66
