Code,Species.Code,Scientific.Name,DBH,Number.stems
S01,Ginkgo,Ginkgo biloba,16,1
S01,Silver maple,Acer saccharinum,76,1
S01,Silver maple,Acer saccharinum,90,1
S01,Norway maple,Acer platanoides,55,1
S01,Silver maple,Acer saccharinum,75,1
S01,River birch,Betula nigra,12,1
S02,Honey locust,Gleditsia triacanthos,5,1
S02,Crabapple,Malus spp,5,1
S02,Red oak,Quercus rubra,54,1
S02,American hop-hornbeam ironwood,Ostrya virginiana,10,1
S02,Common hackberry,Celtis occidentalis,13,1
S02,Silver maple,Acer saccharinum,90,1
S02,Silver maple,Acer saccharinum,102,1
S02,Red ash,Fraxinus pennsylvanica,NA,1
S02,Red ash,Fraxinus pennsylvanica,60,1
S03,Norway maple,Acer platanoides,50,1
S03,Silver maple,Acer saccharinum,71,1
S03,Norway maple,Acer platanoides,75,1
S03,Blue beech,Carpinus caroliniana,5,1
S03,Morton elm,Ulmus x 'Morton',22,1
S04,Honey locust,Gleditsia triacanthos,37,1
S04,Silver maple,Acer saccharinum,85,1
S04,Silver maple,Acer saccharinum,77,1
S04,Silver maple,Acer saccharinum,85,1
S04,Western catalpa,Catalpa speciosa,15,1
S04,Norway maple,Acer platanoides,83,1
S05,Norway maple,Acer platanoides,45,1
S05,Norway maple,Acer platanoides,29,1
S05,Ginkgo,Ginkgo biloba,15,1
S05,Serviceberry,Amelanchier laevis,9,1
S05,Norway maple,Acer platanoides,29,1
S05,Common buckeye,Aesculus octandra,5,1
S05,Freeman maple,Acer freemanii,21,1
S06,English oak,Quercus robur,27,1
S06,Little-leaved linden,Tilia cordata,70,1
S06,Norway maple,Acer platanoides,57,1
S06,Little-leaved linden,Tilia cordata,90,1
S06,Norway maple,Acer platanoides,97,1
S06,Norway maple,Acer platanoides,90,1
S06,Common hackberry,Celtis occidentalis,42,1
S06,Little-leaved linden,Tilia cordata,92,1
S07,Basswood,Tilia americana,57,1
S07,Blue spruce,Picea pungens,47,1
S07,Silver maple,Acer saccharinum,107,1
S07,Silver maple,Acer saccharinum,82,1
S07,Silver maple,Acer saccharinum,85,1
S07,Silver maple,Acer saccharinum,79,1
S07,Silver maple,Acer saccharinum,87,1
S08,Freeman maple,Acer freemanii,43,1
S08,Freeman maple,Acer freemanii,37,1
S08,Norway maple,Acer platanoides,73,1
S08,Freeman maple,Acer freemanii,6,1
S08,Norway maple,Acer platanoides,85,1
S08,Norway maple,Acer platanoides,52,1
S08,Norway maple,Acer platanoides,81,1
S09,Paper birch,Betula papyrifera,5,1
S09,Norway maple,Acer platanoides,58,1
S09,Common hackberry,Celtis occidentalis,6,1
S09,Red ash,Fraxinus pennsylvanica,60,1
S09,Red ash,Fraxinus pennsylvanica,30,1
S09,Red ash,Fraxinus pennsylvanica,37,1
S09,Manitoba maple,Acer negundo ,32,1
S09,Red ash,Fraxinus pennsylvanica,27,1
S09,Red ash,Fraxinus pennsylvanica,57,1
S09,Red ash,Fraxinus pennsylvanica,83,1
S09,Red ash,Fraxinus pennsylvanica,49,1
S09,Honey locust,Gleditsia triacanthos,5,1
S09,Red ash,Fraxinus pennsylvanica,38,1
S10,Honey locust,Gleditsia triacanthos,56,1
S10,Honey locust,Gleditsia triacanthos,51,1
S10,Norway maple,Acer platanoides,42,1
S10,Silver maple,Acer saccharinum,42,1
S10,Sugar maple,Acer saccharum,41,1
S10,Norway maple,Acer platanoides,40,1
S10,Silver maple,Acer saccharinum,76,1
S10,Silver maple,Acer saccharinum,82,1
S10,Ginkgo,Ginkgo biloba,6,1
S10,Silver maple,Acer saccharinum,105,1
S11,Blue spruce,Picea pungens,19,1
S11,Blue spruce,Picea pungens,21,1
S11,Blue spruce,Picea pungens,20,1
S11,White elm,Ulmus americana,82,1
