Code,Species.Code,Plant.sci,DBH,Number.stems
S05,ACFE,Acer freemanii,21,1
S08,ACFE,Acer freemanii,43,1
S08,ACFE,Acer freemanii,37,1
S08,ACFE,Acer freemanii,6,1
S15,ACFE,Acer freemanii,5,1
S18,ACFE,Acer freemanii,16,1
S21,ACFE,Acer freemanii,5,1
S18,ACGI,Acer ginnala ,5,1
S09,ACNE,Acer negundo,32,1
S01,ACPI,Acer platanoides,55,1
S03,ACPI,Acer platanoides,50,1
S03,ACPI,Acer platanoides,75,1
S04,ACPI,Acer platanoides,83,1
S05,ACPI,Acer platanoides,45,1
S05,ACPI,Acer platanoides,29,1
S05,ACPI,Acer platanoides,29,1
S06,ACPI,Acer platanoides,57,1
S06,ACPI,Acer platanoides,97,1
S06,ACPI,Acer platanoides,90,1
S08,ACPI,Acer platanoides,73,1
S08,ACPI,Acer platanoides,85,1
S08,ACPI,Acer platanoides,52,1
S08,ACPI,Acer platanoides,81,1
S09,ACPI,Acer platanoides,58,1
S10,ACPI,Acer platanoides,42,1
S10,ACPI,Acer platanoides,40,1
S13,ACPI,Acer platanoides,71,1
S13,ACPI,Acer platanoides,56,1
S13,ACPI,Acer platanoides,66,1
S14,ACPI,Acer platanoides,66,1
S16,ACPI,Acer platanoides,64,1
S16,ACPI,Acer platanoides,60,1
S16,ACPI,Acer platanoides,60,1
S16,ACPI,Acer platanoides,50,1
S16,ACPI,Acer platanoides,55,1
S16,ACPI,Acer platanoides,50,1
S17,ACPI,Acer platanoides,45,1
S17,ACPI,Acer platanoides,34,1
S19,ACPI,Acer platanoides,47,1
S19,ACPI,Acer platanoides,29,1
S20,ACPI,Acer platanoides,42,1
S20,ACPI,Acer platanoides,35,1
S20,ACPI,Acer platanoides,94,1
S20,ACPI,Acer platanoides,61,1
S20,ACPI,Acer platanoides,48,1
S21,ACPI,Acer platanoides,67,1
S21,ACPI,Acer platanoides,26,1
S11,ACRU,Acer rubrum,34,1
S19,ACRU,Acer rubrum,37,1
S01,ACSA,Acer saccharinum,76,1
S01,ACSA,Acer saccharinum,90,1
S01,ACSA,Acer saccharinum,75,1
S02,ACSA,Acer saccharinum,90,1
S02,ACSA,Acer saccharinum,102,1
S03,ACSA,Acer saccharinum,71,1
S04,ACSA,Acer saccharinum,85,1
S04,ACSA,Acer saccharinum,77,1
S04,ACSA,Acer saccharinum,85,1
S07,ACSA,Acer saccharinum,107,1
S07,ACSA,Acer saccharinum,82,1
S07,ACSA,Acer saccharinum,85,1
S07,ACSA,Acer saccharinum,79,1
S07,ACSA,Acer saccharinum,87,1
S10,ACSA,Acer saccharinum,42,1
S10,ACSA,Acer saccharinum,76,1
S10,ACSA,Acer saccharinum,82,1
S10,ACSA,Acer saccharinum,105,1
S12,ACSA,Acer saccharinum,112,1
S12,ACSA,Acer saccharinum,76,1
S12,ACSA,Acer saccharinum,51,1
S12,ACSA,Acer saccharinum,61,1
S12,ACSA,Acer saccharinum,62,1
S12,ACSA,Acer saccharinum,69,1
S13,ACSA,Acer saccharinum,18,1
S14,ACSA,Acer saccharinum,118,1
S15,ACSA,Acer saccharinum,5,1
S17,ACSA,Acer saccharinum,73,1
S17,ACSA,Acer saccharinum,61,1
S17,ACSA,Acer saccharinum,56,1
S17,ACSA,Acer saccharinum,68,1
S20,ACSA,Acer saccharinum,67,1
S20,ACSA,Acer saccharinum,68,1
S20,ACSA,Acer saccharinum,66,1
S21,ACSA,Acer saccharinum,68,1
S21,ACSA,Acer saccharinum,67,1
S21,ACSA,Acer saccharinum,65,1
S10,ACSC,Acer saccharum,41,1
S05,AEOC,Aesculus octandra,5,1
S18,AEOC,Aesculus octandra,15,1
S05,AMLA,Amelanchier laevis,9,1
S01,BENA,Betula nigra,12,1
S19,BENA,Betula nigra,17,1
S09,BEPA,Betula papyrifera,5,1
S03,CACA,Carpinus caroliniana,5,1
S18,CACA,Carpinus caroliniana,5,1
S04,CASP,Catalpa speciosa,15,1
S02,CEOC,Celtis occidentalis,13,1
S06,CEOC,Celtis occidentalis,42,1
S09,CEOC,Celtis occidentalis,6,1
S13,CEOC,Celtis occidentalis,5,1
S19,CEJA,Cercidiphyllum japonicum,11,1
S02,FRPE,Fraxinus pennsylvanica,NA,1
S02,FRPE,Fraxinus pennsylvanica,60,1
S09,FRPE,Fraxinus pennsylvanica,60,1
S09,FRPE,Fraxinus pennsylvanica,30,1
S09,FRPE,Fraxinus pennsylvanica,37,1
S09,FRPE,Fraxinus pennsylvanica,27,1
S09,FRPE,Fraxinus pennsylvanica,57,1
S09,FRPE,Fraxinus pennsylvanica,83,1
S09,FRPE,Fraxinus pennsylvanica,49,1
S09,FRPE,Fraxinus pennsylvanica,38,1
S15,FRPE,Fraxinus pennsylvanica,21,1
S01,GIBI,Ginkgo biloba,16,1
S05,GIBI,Ginkgo biloba,15,1
S10,GIBI,Ginkgo biloba,6,1
S17,GIBI,Ginkgo biloba,5,1
S02,GLTR,Gleditsia triacanthos,5,1
S04,GLTR,Gleditsia triacanthos,37,1
S09,GLTR,Gleditsia triacanthos,5,1
S10,GLTR,Gleditsia triacanthos,56,1
S10,GLTR,Gleditsia triacanthos,51,1
S18,GLTR,Gleditsia triacanthos,5,1
S15,GYDI,Gymnocladus dioicus,5,1
S21,GYDI,Gymnocladus dioicus,10,1
S18,LITU,Liriodendron tulipifera,16,1
S02,MASP,Malus spp,5,1
S02,OSVI,Ostrya virginiana,10,1
S07,PIPU,Picea pungens,47,1
S11,PIPU,Picea pungens,19,1
S11,PIPU,Picea pungens,21,1
S11,PIPU,Picea pungens,20,1
S14,PIPU,Picea pungens,45,1
S18,PIPU,Picea pungens,5,1
S19,PIPU,Picea pungens,40,
S21,PIPU,Picea pungens,7,1
S15,PISY,Pinus sylvestris,28,1
S06,QURO,Quercus robur,27,1
S02,QURU,Quercus rubra,54,1
S19,QUWA,Quercus warei,10,1
S19,QUWA,Quercus warei,9,1
S07,TIAM,Tilia americana,57,1
S06,TICO,Tilia cordata,70,1
S06,TICO,Tilia cordata,90,1
S06,TICO,Tilia cordata,92,1
S11,TICO,Tilia cordata,41,1
S14,TICO,Tilia cordata,52,1
S14,TICO,Tilia cordata,56,1
S14,TICO,Tilia cordata,66,1
S14,TICO,Tilia cordata,43,1
S14,TICO,Tilia cordata,51,1
S14,TICO,Tilia cordata,55,1
S15,TICO,Tilia cordata,55,1
S15,TICO,Tilia cordata,59,1
S15,TICO,Tilia cordata,53,1
S21,TICO,Tilia cordata,57,1
S19,TIEU,Tilia europaea,13,1
S11,ULAM,Ulmus americana,82,1
S11,ULHO,Ulmus hollandica,5,1
S18,ULHO,Ulmus hollandica,5,1
S03,ULMO,Ulmus morton,22,1
