Code,Species.Code,Plant.sci,DBH,Number.stems,Landtype
Y45,ABBA,Abies balsamea,7,1,yard
Y45,ABBA,Abies balsamea,8,1,yard
Y45,ABBA,Abies balsamea,5,1,yard
Y45,ABBA,Abies balsamea,9,1,yard
Y04,ACNE,Acer negundo,53,1,yard
Y04,ACNE,Acer negundo,51,1,yard
Y04,ACNE,Acer negundo,36,1,yard
Y27,ACNE,Acer negundo,106,1,yard
Y33,ACNE,Acer negundo,52,1,yard
Y33,ACNE,Acer negundo,39,1,yard
Y04,ACPA,Acer palmatum,8,1,yard
Y04,ACPA,Acer palmatum,6,1,yard
Y04,ACPA,Acer palmatum,9,1,yard
Y13,ACPA,Acer palmatum,37,4,yard
Y33,ACPA,Acer palmatum,6,1,yard
Y49,ACPA,Acer palmatum,8,1,yard
Y04,ACPL,Acer platanoides,35,1,yard
Y04,ACPL,Acer platanoides,82,1,yard
Y04,ACPL,Acer platanoides,14,1,yard
Y04,ACPL,Acer platanoides,6,1,yard
Y04,ACPL,Acer platanoides,7,1,yard
Y04,ACPL,Acer platanoides,28,1,yard
Y04,ACPL,Acer platanoides,30,1,yard
Y04,ACPL,Acer platanoides,26,1,yard
Y09,ACPL,Acer platanoides,29,1,yard
Y18,ACPL,Acer platanoides,33,1,yard
Y31,ACPL,Acer platanoides,45,1,yard
Y31,ACPL,Acer platanoides,42,1,yard
Y31,ACPL,Acer platanoides,43,1,yard
Y31,ACPL,Acer platanoides,45,1,yard
Y49,ACPL,Acer platanoides,49,1,yard
Y05,ACSA,Acer saccharinum,65,1,yard
Y06,ACSA,Acer saccharinum,22,1,yard
Y13,ACSA,Acer saccharinum,135,1,yard
Y44,ACSA,Acer saccharinum,180,2,yard
Y05,ACSC,Acer saccharum,55,1,yard
Y06,AMCA,Amelanchier canadensis,5,1,yard
Y18,AMCA,Amelanchier canadensis,16,1,yard
Y18,CEOC,Celtis occidentalis,9,1,yard
Y03,CHNO,Chamaecyparis nootkatensis,15,1,yard
Y13,CHNO,Chamaecyparis nootkatensis,15,1,yard
