"Code","Species.Code","Plant.sci","DBH","Number.stems","Landtype"
"S05","ACFE","Acer freemanii",21,1,"street"
"S08","ACFE","Acer freemanii",43,1,"street"
"S08","ACFE","Acer freemanii",37,1,"street"
"S08","ACFE","Acer freemanii",6,1,"street"
"S15","ACFE","Acer freemanii",5,1,"street"
"S18","ACFE","Acer freemanii",16,1,"street"
"S21","ACFE","Acer freemanii",5,1,"street"
"S18","ACGI","Acer ginnala ",5,1,"street"
"S09","ACNE","Acer negundo",32,1,"street"
"S01","ACPI","Acer platanoides",55,1,"street"
"S03","ACPI","Acer platanoides",50,1,"street"
"S03","ACPI","Acer platanoides",75,1,"street"
"S04","ACPI","Acer platanoides",83,1,"street"
"S05","ACPI","Acer platanoides",45,1,"street"
"S05","ACPI","Acer platanoides",29,1,"street"
"S05","ACPI","Acer platanoides",29,1,"street"
"S06","ACPI","Acer platanoides",57,1,"street"
"S06","ACPI","Acer platanoides",97,1,"street"
"S06","ACPI","Acer platanoides",90,1,"street"
"S08","ACPI","Acer platanoides",73,1,"street"
"S08","ACPI","Acer platanoides",85,1,"street"
"S08","ACPI","Acer platanoides",52,1,"street"
"S08","ACPI","Acer platanoides",81,1,"street"
"S09","ACPI","Acer platanoides",58,1,"street"
"S10","ACPI","Acer platanoides",42,1,"street"
"S10","ACPI","Acer platanoides",40,1,"street"
"S13","ACPI","Acer platanoides",71,1,"street"
"S13","ACPI","Acer platanoides",56,1,"street"
"S13","ACPI","Acer platanoides",66,1,"street"
"S14","ACPI","Acer platanoides",66,1,"street"
"S16","ACPI","Acer platanoides",64,1,"street"
"S16","ACPI","Acer platanoides",60,1,"street"
"S16","ACPI","Acer platanoides",60,1,"street"
"S16","ACPI","Acer platanoides",50,1,"street"
"S16","ACPI","Acer platanoides",55,1,"street"
"S16","ACPI","Acer platanoides",50,1,"street"
"S17","ACPI","Acer platanoides",45,1,"street"
"S17","ACPI","Acer platanoides",34,1,"street"
"S19","ACPI","Acer platanoides",47,1,"street"
"S19","ACPI","Acer platanoides",29,1,"street"
"S20","ACPI","Acer platanoides",42,1,"street"
"S20","ACPI","Acer platanoides",35,1,"street"
"S20","ACPI","Acer platanoides",94,1,"street"
"S20","ACPI","Acer platanoides",61,1,"street"
"S20","ACPI","Acer platanoides",48,1,"street"
"S21","ACPI","Acer platanoides",67,1,"street"
"S21","ACPI","Acer platanoides",26,1,"street"
"S11","ACRU","Acer rubrum",34,1,"street"
"S19","ACRU","Acer rubrum",37,1,"street"
