location,latitude,longitude,utm_zone,utm_easting,utm_northing,Landtype,Season
TREN,45.460732,-73.632405,18,606919.9,5035044,public,Pre-breeding migratory
GILB,45.465865,-73.650173,18,605521.2,5035590,public,Pre-breeding migratory
WILH,45.470003,-73.631332,18,606986.3,5036075,public,Pre-breeding migratory
RY51,45.469198,-73.615376,18,608235.1,5036007,residential,Pre-breeding migratory
RY07,45.45998,-73.648157,18,605689.8,5034939,residential,Pre-breeding migratory
RY33,45.46421,-73.62443,18,607536.8,5035441,residential,Pre-breeding migratory
RY18,45.45613,-73.64465,18,605971.2,5034516,residential,Pre-breeding migratory
LOYP,45.4608,-73.64638,18,605827.2,5035033,public,Pre-breeding migratory
LOYC,45.45939,-73.64266,18,606120.7,5034881,public,Pre-breeding migratory
CONF,45.47264,-73.6394,18,606350.7,5036357,public,Pre-breeding migratory
RY50,45.46543,-73.64373,18,606025.7,5035550,residential,Pre-breeding migratory
RY24,45.47506,-73.63513,18,606679.8,5036632,residential,Pre-breeding migratory
RY32,45.46159,-73.64086,18,606257.3,5035128,residential,Pre-breeding migratory
RY06,45.46965,-73.64571,18,605863,5036017,residential,Pre-breeding migratory
