"Code","Date","Start.Time","End.Time","Temperature...C.","Cloud.Cover.code","Beaufort.scale","Day.of.Week","Species","Bird.Scientific.Name","Behaviour","Time.of.Observation","Plant.species","Scientific.Name","DBH..cm.","Notes","X","Type","IsHedge","Basal.density","BehaviourType","DBH"
"Y03 ","15/05/2024","7:03","7:23",13,4,3,"Wednesday","HOSP","Passer domesticus","Hop","7:16","Beauty bush","Kolkwitzia amabilis",15,"Lots of birds in adjacent yards, challenging to observe hedges. Heard TEWA, BTNW, AMRO, SOSP.","","Yard","No",NA,"Foraging",NA
"Y03 ","15/05/2024","7:03","7:23",13,4,3,"Wednesday","EWPE","Contopus virens","Sally","7:20","Burning bush","Euonymus alatus",2,"Many small stems ","","Yard","No",NA,"Foraging",NA
"Y33","15/05/2024","8:09","8:29",13,4,3,"Wednesday","HOSP","Passer domesticus","Vocalize","8:20","Manitoba maple","Acer negundo",42,"Loud construction across the street, plane, chimney swifts above ","","Yard","No",8.7178143,"Territory_defense",NA
"Y33","15/05/2024","8:09","8:29",13,4,3,"Wednesday","EUST","Sturnus vulgaris","Peck","8:21","Manitoba maple","Acer negundo",42,"","","Yard","No",8.7178143,"Foraging",NA
"Y33","15/05/2024","8:09","8:29",13,4,3,"Wednesday","HOSP","Passer domesticus","Vocalize","9:23","Manitoba maple","Acer negundo",30,"","","Yard","No",8.7178143,"Territory_defense",NA
"Y33","15/05/2024","8:09","8:29",13,4,3,"Wednesday","LEFL","Empidonax minimus","Sally","8:24","Manitoba maple","Acer negundo",42,"","","Yard","No",8.7178143,"Foraging",NA
"Y33","15/05/2024","8:09","8:29",13,4,3,"Wednesday","AMRO","Turdus migratorius","Vocalize","8:26","Manitoba maple","Acer negundo",30,"","","Yard","No",8.7178143,"Territory_defense",NA
"Y45","15/05/2024","9:03","9:23",13,4,3,"Wednesday","HOSP","Passer domesticus","Perch","9:13","Canada yew","Taxus canadensis",30,"Construction heard, birds galore in adjacent yards (hermit thrush, NOCA, SWTH, GRCA, CMWA) ","","Yard","No",8.9523931,"Rest",NA
"Y45","15/05/2024","9:03","9:23",13,4,3,"Wednesday","HOSP","Passer domesticus","Vocalize","9:14","Canada yew","Taxus canadensis",14,"","","Yard","No",8.9523931,"Territory_defense",NA
"Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","NOCA","Cardinalis cardinalis","Vocalize","7:15","Norway spruce","Picea abies",49,"Clouds cover washed out the colour of the birds; birds were missed. Merlin recorded SOSP, HOSP, NOCA, AMRO, BCCH, AMGO, HOFI, YRWA, CSWA, SWTH.","","Yard","No",36.854895,"Territory_defense",NA
"Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","AMGO","Spinus tristis","Vocalize","7:16","Norway spruce","Picea abies",30,"","","Yard","No",36.854895,"Territory_defense",NA
"Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","AMGO","Spinus tristis","Perch","7:16","Norway spruce","Picea abies",30,"","","Yard","No",36.854895,"Rest",NA
"Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","CHSP","Spizella passerina","Vocalize","7:18","White ash","Fraxinus americana",60,"","","Yard","No",36.854895,"Territory_defense",NA
"Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WAVI","Vireo gilvus","Reach","7:19","White ash","Fraxinus americana",60,"Description: white underside, long black-tipped white tail, white cheek, eyeline, longish beak (slightly hooked), somewhat blueish upperparts, horizontal posture, head rotation and tail flicking, larger than a warbler","","Yard","No",36.854895,"Foraging",NA
"Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WAVI","Vireo gilvus","Glean","7:19","White ash","Fraxinus americana",60,"","","Yard","No",36.854895,"Foraging",NA
"Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WAVI","Vireo gilvus","Sally","7:19","White ash","Fraxinus americana",60,"","","Yard","No",36.854895,"Foraging",NA
"Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WAVI","Vireo gilvus","Sally","7:19","White ash","Fraxinus americana",60,"Mating pair","","Yard","No",36.854895,"Foraging",NA
"Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WAVI","Vireo gilvus","Reach","7:19","White ash","Fraxinus americana",60,"","","Yard","No",36.854895,"Foraging",NA
"Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WAVI","Vireo gilvus","Glean","7:19","White ash","Fraxinus americana",60,"","","Yard","No",36.854895,"Foraging",NA
"Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","CSWA","Setophaga pensylvanica","Vocalize","7:20","White ash","Fraxinus americana",60,"","","Yard","No",36.854895,"Territory_defense",NA
"Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","CSWA","Setophaga pensylvanica","Glean","7:20","White ash","Fraxinus americana",60,"","","Yard","No",36.854895,"Foraging",NA
"Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","NOCA","Cardinalis cardinalis","Ground forage","7:21","European crabapple","Malus sylvestris",35,"Male","","Yard","No",36.854895,"Foraging",NA
"Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","NOCA","Cardinalis cardinalis","Perch","7:21","European crabapple","Malus sylvestris",35,"Female","","Yard","No",36.854895,"Rest",NA
"Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WIWA","Cardellina pusilla","Vocalize","7:22","European crabapple","Malus sylvestris",35,"","","Yard","No",36.854895,"Territory_defense",NA
"Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","SWTH","Catharus ustulatus","Peck","7:23","Ground",NA,NA,"","","Yard","No",36.854895,"Foraging",NA
"Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","SWTH","Catharus ustulatus","Perch","7:23","European crabapple","Malus sylvestris",35,"","","Yard","No",36.854895,"Rest",NA
"Y04","16/05/2024","8:16","8:37",13,4,3,"Thursday",NA,"","","","","",NA,"Mama robin incubating (nest is on fixture attached to house), large Norway maple on property (dense canopy), very loud RBNU in front. Homeowner very interested in results","","Yard","Yes",3.1567111,NA,NA
"Y26","17/05/2024","8:38","8:58",17,4,2,"Friday ","EUST","Sturnus vulgaris","Perch","8:40","Dead standing",NA,20,"Manitoba maple 'hedge' flanking right side of the yard, house cat passed through the yard. Saw LEFL in neighbour's large silver maple.","","Yard","No",3.8040849,"Rest",NA
"Y26","17/05/2024","8:38","8:58",17,4,2,"Friday ","EUST","Sturnus vulgaris","Perch","8:44","Dead standing",NA,20,"","","Yard","No",3.8040849,"Rest",NA
"Y26","17/05/2024","8:38","8:58",17,4,2,"Friday ","EUST","Sturnus vulgaris","Vocalize","8:46","Dead standing",NA,20,"","","Yard","No",3.8040849,"Territory_defense",NA
"Y26","17/05/2024","8:38","8:58",17,4,2,"Friday ","EUST","Sturnus vulgaris","Preen","8:46","Dead standing",NA,20,"","","Yard","No",3.8040849,"Grooming",NA
"Y26","17/05/2024","8:38","8:58",17,4,2,"Friday ","NOCA","Cardinalis cardinalis","Vocalize","8:50","Dead standing",NA,20,"","","Yard","No",3.8040849,"Territory_defense",NA
"Y13","17/05/2024","9:15","9:35",17,4,2,"Friday ","HOSP","Passer domesticus","Vocalize","9:20","Lily magnolia","Magnolia liliflora",15,"No hedges, including cedars","","Yard","Yes",12.7497909,"Territory_defense",NA
"Y13","17/05/2024","9:15","9:35",17,4,2,"Friday ","HOSP","Passer domesticus","Vocalize","9:20","Lily magnolia","Magnolia liliflora",15,"","","Yard","Yes",12.7497909,"Territory_defense",NA
"Y13","17/05/2024","9:15","9:35",17,4,2,"Friday ","HOSP","Passer domesticus","Vocalize","9:20","Lily magnolia","Magnolia liliflora",15,"","","Yard","Yes",12.7497909,"Territory_defense",NA
"Y13","17/05/2024","9:15","9:35",17,4,2,"Friday ","HOSP","Passer domesticus","Glean","9:22","Norway spruce","Picea abies",15,"","","Yard","Yes",12.7497909,"Foraging",NA
"Y13","17/05/2024","9:15","9:35",17,4,2,"Friday ","HOSP","Passer domesticus","Glean","9:24","Burning bush","Euonymus alatus",1,"","","Yard","Yes",12.7497909,"Foraging",NA
"Y13","17/05/2024","9:15","9:35",17,4,2,"Friday ","AMRO","Turdus migratorius","Bathe","9:28","Bird bath",NA,NA,"","","Yard","Yes",12.7497909,"Grooming",NA
"Y13","17/05/2024","9:15","9:35",17,4,2,"Friday ","MODO","Zenaida macroura","Perch","9:30","Silver maple","Acer saccharinum",140,"","","Yard","Yes",12.7497909,"Rest",NA
"Y13","17/05/2024","9:15","9:35",17,4,2,"Friday ","MODO","Zenaida macroura","Vocalize","9:32","Silver maple","Acer saccharinum",140,"","","Yard","Yes",12.7497909,"Territory_defense",NA
"Y13","17/05/2024","9:15","9:35",17,4,2,"Friday ","MODO","Zenaida macroura","Vocalize","9:32","Silver maple","Acer saccharinum",140,"","","Yard","Yes",12.7497909,"Territory_defense",NA
"Y32","21/05/2024","6:43","7:03",20,3,2,"Tuesday","NOCA","Cardinalis cardinalis","Vocalize","6:50","European crabapple","Malus sylvestris",15,"","","Yard","No",18.1459564,"Territory_defense",NA
"Y06","21/05/2024","7:25","7:45",20,3,2,"Tuesday",NA,"","","","","",NA,"Nothing in yard, REVI and BLPW heard in area","","Yard","Yes",5.2786735,NA,NA
"Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","HOSP","Passer domesticus","Feeder","8:15","Feeder",NA,NA,"","","Yard","No",44.9160733,"Anthropogenic_interaction",NA
"Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","HOSP","Passer domesticus","Feeder","8:15","Feeder",NA,NA,"","","Yard","No",44.9160733,"Anthropogenic_interaction",NA
"Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","HOSP","Passer domesticus","Feeder","8:15","Feeder",NA,NA,"","","Yard","No",44.9160733,"Anthropogenic_interaction",NA
"Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","HOSP","Passer domesticus","Feeder","8:15","Feeder",NA,NA,"","","Yard","No",44.9160733,"Anthropogenic_interaction",NA
"Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","HOSP","Passer domesticus","Feeder","8:15","Feeder",NA,NA,"","","Yard","No",44.9160733,"Anthropogenic_interaction",NA
"Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","HOSP","Passer domesticus","Feeder","8:15","Feeder",NA,NA,"","","Yard","No",44.9160733,"Anthropogenic_interaction",NA
"Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","HOSP","Passer domesticus","Bill wipe","8:16","Common lilac","Syringa vulgaris",5,"","","Yard","No",44.9160733,"Grooming",NA
"Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","NOCA","Cardinalis cardinalis","Feeder","8:18","Ground",NA,NA,"Came from feeder, feeder content: millet, sunflower ","","Yard","No",44.9160733,"Anthropogenic_interaction",NA
"Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","CHSP","Spizella passerina","Feeder","8:20","Feeder",NA,NA,"","","Yard","No",44.9160733,"Anthropogenic_interaction",NA
"Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","CHSP","Spizella passerina","Feeder","8:24","Ground",NA,NA,"","","Yard","No",44.9160733,"Anthropogenic_interaction",NA
"Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","NOCA","Cardinalis cardinalis","Feed each other ","8:30","Black chokecherry","Prunus virginiana",13,"","","Yard","No",44.9160733,NA,NA
"Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","NOCA","Cardinalis cardinalis","Feed each other ","8:30","Black chokecherry","Prunus virginiana",13,"","","Yard","No",44.9160733,NA,NA
"Y05","21/05/2024","8:42","9:02",21,2,2,"Tuesday","AMRO","Turdus migratorius","Gape","8:45","Ground",NA,NA,"","","Yard","Yes",5.1747616,"Foraging",NA
"Y05","21/05/2024","8:42","9:02",21,2,2,"Tuesday","HOSP","Passer domesticus","Perch","8:50","White cedar","Thuja occidentalis",10,"Hedge","","Yard","Yes",5.1747616,"Rest",NA
"Y05","21/05/2024","8:42","9:02",21,2,2,"Tuesday","HOSP","Passer domesticus","Perch","8:55","White cedar","Thuja occidentalis",10,"Hedge","","Yard","Yes",5.1747616,"Rest",NA
"Y25","23/05/2024","7:24","7:43",21,4,3,"Thursday","AMCR","Corvus brachyrhynchos","Vocalize","7:37","White ash","Fraxinus americana",40,"","","Yard","No",NA,"Territory_defense",NA
"Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","HOSP","Passer domesticus","Feeder","8:38","Feeder",NA,NA,"Strong gusts of wind in front yard, less windy in back, empty robin's nest on porch, neighbours all removed trees","","Yard","No",12.2787018,"Anthropogenic_interaction",NA
"Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","HOFI","Haemorhous mexicanus","Perch","8:40","Japanese maple","Acer palmatum",5,"","","Yard","No",12.2787018,"Rest",NA
"Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","HOSP","Passer domesticus","Perch","8:50","Japanese maple","Acer palmatum",5,"","","Yard","No",12.2787018,"Rest",NA
"Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","HOSP","Passer domesticus","Perch","8:50","Norway maple","Acer platanoides",35,"","","Yard","No",12.2787018,"Rest",NA
"Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","WAVI","Vireo gilvus","Perch","8:50","Japanese maple","Acer palmatum",5,"","","Yard","No",12.2787018,"Rest",NA
"Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","EUST","Sturnus vulgaris","Bill wipe","8:52","Norway maple","Acer platanoides",35,"","","Yard","No",12.2787018,"Grooming",NA
"Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","EUST","Sturnus vulgaris","Perch","8:54","Norway maple","Acer platanoides",35,"","","Yard","No",12.2787018,"Rest",NA
"Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","EUST","Sturnus vulgaris","Feeder","8:55","Feeder",NA,NA,"","","Yard","No",12.2787018,"Anthropogenic_interaction",NA
"Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","CHSP","Spizella passerina","Feeder","8:55","Ground",NA,NA,"","","Yard","No",12.2787018,"Anthropogenic_interaction",NA
"Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","CHSP","Spizella passerina","Perch","8:57","Norway maple","Acer platanoides",35,"","","Yard","No",12.2787018,"Rest",NA
"Y27","23/05/2024","9:25","9:45",21,4,4,"Thursday","HOSP","Passer domesticus","Glean","9:27","Manitoba maple","Acer negundo",100,"YEWA heard in neighbouhood, house cat in window, CEDW flock flew overhead, MERL or other bird of prey flew overhead","","Yard","No",5.504345,"Foraging",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Forage","6:22","Ground",NA,NA,"Bird feeders: miller, sunflower seed, thistle. Windy.","","Yard","No",11.3989116,"Foraging",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Forage","6:22","Ground",NA,NA,"","","Yard","No",11.3989116,"Foraging",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Forage","6:22","Ground",NA,NA,"","","Yard","No",11.3989116,"Foraging",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:26","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Rest",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:26","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Rest",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:26","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Rest",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","NOCA","Cardinalis cardinalis","Vocalize","6:34","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Territory_defense",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:35","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Rest",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Vocalize","6:36","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Territory_defense",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:36","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Rest",NA
