"Code","Date","Start.Time","End.Time","Temperature...C.","Cloud.Cover.code","Beaufort.scale","Day.of.Week","Species","Bird.Scientific.Name","Behaviour","Time.of.Observation","Plant.species","Scientific.Name","DBH","Notes","BehaviourType","Type","IsHedge","Basal.density"
"S02","15/05/2024","10:33","10:53",15,2,2,"Wednesday ","HOSP","Passer domesticus","Vocalize","10:43","Red ash","Fraxinus pennsylvanica","48","","Territory_defense","Street","NA","NA"
"S01","15/05/2024","11:01","11:21",15,2,2,"Wednesday ","GCKI","Regulus satrapa","Sally","10:10","Silver maple","Acer saccharinum","80","Sound ranged between 2-4, street cleaning passed by ","Foraging","Street","NA","NA"
"S01","15/05/2024","11:01","11:21",15,2,2,"Wednesday ","GCKI","Regulus satrapa","Sally","10:10","Silver maple","Acer saccharinum","80","Specific DBH not taken, looked at public tree inventory to see the sizes of this tree on the segment ","Foraging","Street","NA","NA"
"S01","15/05/2024","11:01","11:21",15,2,2,"Wednesday ","HOFI","Haemorhous mexicanus","Perch","10:15","Silver maple","Acer saccharinum","80","","Rest","Street","NA","NA"
"S01","15/05/2024","11:01","11:21",15,2,2,"Wednesday ","HOFI","Haemorhous mexicanus","Perch","10:15","Silver maple","Acer saccharinum","80","","Rest","Street","NA","NA"
"S01","15/05/2024","11:01","11:21",15,2,2,"Wednesday ","AMRO","Turdus migratorius","Preen","10:20","Silver maple","Acer saccharinum","80","","Grooming","Street","NA","NA"
"S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","EUST","Sturnus vulgaris","Peck","9:14","Silver maple","Acer saccharinum","80","EUST nest in nearly every tree","Foraging","Street","NA","NA"
"S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","EUST","Sturnus vulgaris","Peck","9:15","Silver maple","Acer saccharinum","80","Specific DBH not taken, looked at public tree inventory to see the sizes of this tree on the segment ","Foraging","Street","NA","NA"
"S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","EUST","Sturnus vulgaris","Peck","9:15","Silver maple","Acer saccharinum","80","","Foraging","Street","NA","NA"
"S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","EUST","Sturnus vulgaris","Feed young","9:16","Silver maple","Acer saccharinum","80","","Reproduction","Street","NA","NA"
"S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","EUST","Sturnus vulgaris","Feed young","9:17","Silver maple","Acer saccharinum","80","","Reproduction","Street","NA","NA"
"S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","HOSP","Passer domesticus","Vocalize","9:20","Silver maple","Acer saccharinum","80","","Territory_defense","Street","NA","NA"
"S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","EUST","Sturnus vulgaris","Carry food","9:25","Silver maple","Acer saccharinum","80","","Reproduction","Street","NA","NA"
"S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","HOSP","Passer domesticus","Vocalize","9:26","Silver maple","Acer saccharinum","80","","Territory_defense","Street","NA","NA"
"S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","HOSP","Passer domesticus","Perch","9:28","Silver maple","Acer saccharinum","80","","Rest","Street","NA","NA"
"S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","AMRO","Turdus migratorius","Vocalize","9:30","Silver maple","Acer saccharinum","80","","Territory_defense","Street","NA","NA"
"S04","16/05/2024","9:14","9:34",13,3,2,"Thursday","EUST","Sturnus vulgaris","Feed young","9:32","Silver maple","Acer saccharinum","80","","Reproduction","Street","NA","NA"
"S04","16/05/2024","9:14","9:34",13,3,2,"Thursday","HOSP","Passer domesticus","Perch","9:34","Silver maple","Acer saccharinum","80","","Rest","Street","NA","NA"
"S13","17/05/2024","6:59","7:19",16,4,2,"Friday","AMRO","Turdus migratorius","Vocalize","7:00","Norway maple","Acer platanoides","60","","Territory_defense","Street","NA","NA"
"S13","17/05/2024","6:59","7:19",16,4,2,"Friday","AMRO","Turdus migratorius","Gape","7:05","Ground","NA ",NA,"","Foraging","Street","NA","NA"
"S13","17/05/2024","6:59","7:19",16,4,2,"Friday","EUST","Sturnus vulgaris","Gape","7:10","Ground","NA ",NA,"","Foraging","Street","NA","NA"
"S13","17/05/2024","6:59","7:19",16,4,2,"Friday","HOSP","Passer domesticus","Glean","7:15","Common hackberry","Celtis occidentalis","5","","Foraging","Street","NA","NA"
"S13","17/05/2024","6:59","7:19",16,4,2,"Friday","NOCA","Cardinalis cardinalis","Perch","7:15","Common hackberry","Celtis occidentalis","5","","Rest","Street","NA","NA"
"S13","17/05/2024","6:59","7:19",16,4,2,"Friday","EUST","Sturnus vulgaris","Gape","7:19","Ground","NA ",NA,"","Foraging","Street","NA","NA"
"S06","17/05/2024","7:25","7:45",16,4,2,"Friday","BCCH","Poecile atricapillus","Perch","7:40","Norway maple","Acer platanoides","50","","Rest","Street","NA","NA"
"S06","17/05/2024","7:25","7:45",16,4,2,"Friday","AMRO","Turdus migratorius","Perch","7:40","European linden","Tilia × europaea","50","","Rest","Street","NA","NA"
"S08","17/05/2024","8:14","8:34",16,4,2,"Friday","LEFL","Empidonax minimus","Sally","8:24","Norway maple","Acer platanoides","60","","Foraging","Street","NA","NA"
"S08","17/05/2024","8:14","8:34",16,4,2,"Friday","HOSP","Passer domesticus","Peck","8:26","Ground","NA ",NA,"","Foraging","Street","NA","NA"
"S08","17/05/2024","8:14","8:34",16,4,2,"Friday","HOSP","Passer domesticus","Glean","8:28","Norway maple","Acer platanoides","60","","Foraging","Street","NA","NA"
"S08","17/05/2024","8:14","8:34",16,4,2,"Friday","AMCR","Corvus brachyrhynchos","Attack squirrel ","8:30","Norway maple","Acer platanoides","60","","Territory_defense","Street","NA","NA"
"S08","17/05/2024","8:14","8:34",16,4,2,"Friday","HOSP","Passer domesticus","Perch","8:33","Norway maple","Acer platanoides","60","","Rest","Street","NA","NA"
"S03","17/05/2024","9:12","9:32",16,4,2,"Friday",NA,"","","","","","","Busy street, daycare dropoff time","NA","Street","NA","NA"
"S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","AMRO","Turdus migratorius","Gape","7:10","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","REVI","Vireo olivaceus","Vocalize","7:12","Silver maple","Acer saccharinum","80","","Territory_defense","Street","NA","NA"
"S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Bill wipe","7:15","Silver maple","Acer saccharinum","80","","Grooming","Street","NA","NA"
"S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Bill wipe","7:15","Silver maple","Acer saccharinum","80","","Grooming","Street","NA","NA"
"S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Feed young","7:17","Silver maple","Acer saccharinum","80","","Reproduction","Street","NA","NA"
"S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Feed young","7:17","Silver maple","Acer saccharinum","80","","Reproduction","Street","NA","NA"
"S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Gape","7:19","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","NOCA","Cardinalis cardinalis","Vocalize","7:20","Silver maple","Acer saccharinum","   ","","Territory_defense","Street","NA","NA"
"S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Feed young","7:22","Silver maple","Acer saccharinum","80","","Reproduction","Street","NA","NA"
"S12","22/05/2024","7:47","8:07",19,1,1,"Wednesday ","WBNU","Sitta carolinensis","Peck","7:55","Silver maple","Acer saccharinum","80","","Foraging","Street","NA","NA"
"S12","22/05/2024","7:47","8:07",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Bill wipe","7:57","Silver maple","Acer saccharinum","80","","Grooming","Street","NA","NA"
"S12","22/05/2024","7:47","8:07",19,1,1,"Wednesday ","AMRO","Turdus migratorius","Gape","8:00","Silver maple","Acer saccharinum","80","","Foraging","Street","NA","NA"
