"","Yard.code","Date","Start.Time","End.Time","Temperature...C.","Cloud.Cover.code","Beaufort.scale","Day.of.Week","Species","Bird.Scientific.Name","Behaviour","Time.of.Observation","Plant.species","Scientific.Name","DBH..cm.","Notes","X","Type","IsHedge","Basal.density","BehaviourType"
"1","Y03","15/05/2024","7:03","7:23",13,4,3,"Wednesday","HOSP","Passer domesticus","Hop","7:16","Beauty bush","Kolkwitzia amabilis",15,"Lots of birds in adjacent yards, challenging to observe hedges. Heard TEWA, BTNW, AMRO, SOSP.","","Yard","Yes","2.5470304","Foraging"
"2","Y03","15/05/2024","7:03","7:23",13,4,3,"Wednesday","EWPE","Contopus virens","Sally","7:20","Burning bush","Euonymus alatus",2,"Many small stems ","","Yard","Yes","2.5470304","Foraging"
"3","Y33","15/05/2024","8:09","8:29",13,4,3,"Wednesday","HOSP","Passer domesticus","Vocalize","8:20","Manitoba maple","Acer negundo",42,"Loud construction across the street, plane, chimney swifts above ","","Yard","No","8.7178143","Territory_defense"
"4","Y33","15/05/2024","8:09","8:29",13,4,3,"Wednesday","EUST","Sturnus vulgaris","Peck","8:21","Manitoba maple","Acer negundo",42,"","","Yard","No","8.7178143","Foraging"
"5","Y33","15/05/2024","8:09","8:29",13,4,3,"Wednesday","HOSP","Passer domesticus","Vocalize","9:23","Manitoba maple","Acer negundo",30,"","","Yard","No","8.7178143","Territory_defense"
"6","Y33","15/05/2024","8:09","8:29",13,4,3,"Wednesday","LEFL","Empidonax minimus","Sally","8:24","Manitoba maple","Acer negundo",42,"","","Yard","No","8.7178143","Foraging"
"7","Y33","15/05/2024","8:09","8:29",13,4,3,"Wednesday","AMRO","Turdus migratorius","Vocalize","8:26","Manitoba maple","Acer negundo",30,"","","Yard","No","8.7178143","Territory_defense"
"8","Y45","15/05/2024","9:03","9:23",13,4,3,"Wednesday","HOSP","Passer domesticus","Perch","9:13","Canada yew","Taxus canadensis",30,"Construction heard, birds galore in adjacent yards (hermit thrush, NOCA, SWTH, GRCA, CMWA) ","","Yard","No","8.9523931","Rest"
"9","Y45","15/05/2024","9:03","9:23",13,4,3,"Wednesday","HOSP","Passer domesticus","Vocalize","9:14","Canada yew","Taxus canadensis",14,"","","Yard","No","8.9523931","Territory_defense"
"10","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","NOCA","Cardinalis cardinalis","Vocalize","7:15","Norway spruce","Picea abies",49,"Clouds cover washed out the colour of the birds; birds were missed. Merlin recorded SOSP, HOSP, NOCA, AMRO, BCCH, AMGO, HOFI, YRWA, CSWA, SWTH.","","Yard","No","36.854895","Territory_defense"
"11","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","AMGO","Spinus tristis","Vocalize","7:16","Norway spruce","Picea abies",30,"","","Yard","No","36.854895","Territory_defense"
"12","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","AMGO","Spinus tristis","Perch","7:16","Norway spruce","Picea abies",30,"","","Yard","No","36.854895","Rest"
"13","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","CHSP","Spizella passerina","Vocalize","7:18","White ash","Fraxinus americana",60,"","","Yard","No","36.854895","Territory_defense"
"14","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WAVI","Vireo gilvus","Reach","7:19","White ash","Fraxinus americana",60,"Description: white underside, long black-tipped white tail, white cheek, eyeline, longish beak (slightly hooked), somewhat blueish upperparts, horizontal posture, head rotation and tail flicking, larger than a warbler","","Yard","No","36.854895","Foraging"
"15","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WAVI","Vireo gilvus","Glean","7:19","White ash","Fraxinus americana",60,"","","Yard","No","36.854895","Foraging"
"16","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WAVI","Vireo gilvus","Sally","7:19","White ash","Fraxinus americana",60,"","","Yard","No","36.854895","Foraging"
"17","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WAVI","Vireo gilvus","Sally","7:19","White ash","Fraxinus americana",60,"Mating pair","","Yard","No","36.854895","Foraging"
"18","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WAVI","Vireo gilvus","Reach","7:19","White ash","Fraxinus americana",60,"","","Yard","No","36.854895","Foraging"
"19","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WAVI","Vireo gilvus","Glean","7:19","White ash","Fraxinus americana",60,"","","Yard","No","36.854895","Foraging"
"20","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","CSWA","Setophaga pensylvanica","Vocalize","7:20","White ash","Fraxinus americana",60,"","","Yard","No","36.854895","Territory_defense"
"21","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","CSWA","Setophaga pensylvanica","Glean","7:20","White ash","Fraxinus americana",60,"","","Yard","No","36.854895","Foraging"
"22","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","NOCA","Cardinalis cardinalis","Ground forage","7:21","European crabapple","Malus sylvestris",35,"Male","","Yard","No","36.854895","Foraging"
"23","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","NOCA","Cardinalis cardinalis","Perch","7:21","European crabapple","Malus sylvestris",35,"Female","","Yard","No","36.854895","Rest"
"24","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WIWA","Cardellina pusilla","Vocalize","7:22","European crabapple","Malus sylvestris",35,"","","Yard","No","36.854895","Territory_defense"
"25","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","SWTH","Catharus ustulatus","Peck","7:23","Ground",NA,NA,"","","Yard","No","36.854895","Foraging"
"26","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","SWTH","Catharus ustulatus","Perch","7:23","European crabapple","Malus sylvestris",35,"","","Yard","No","36.854895","Rest"
