"","street.code","common.name","scientific.name","DBH"
"1","S01","Ginkgo","Ginkgo biloba",5
"2","S01","Silver maple","Acer saccharinum",80
"3","S01","Silver maple","Acer saccharinum",86
"4","S01","Norway maple","Acer platanoides",55
"5","S01","Silver maple","Acer saccharinum",74
"6","S01","River birch","Betula nigra",8
"7","S02","Skyline honey locust","Gleditsia triacanthos 'Skyline'",5
"8","S02","Prariefire crabapple","Malus x 'Prairifire'",5
"9","S02","Red oak","Quercus rubra",23
"10","S02","American hop-hornbeam ironwood","Ostrya virginiana",6
"11","S02","Common hackberry","Celtis occidentalis",8
"12","S02","Silver maple","Acer saccharinum",70
"13","S02","Silver maple","Acer saccharinum",98
"14","S02","Red ash","Fraxinus pennsylvanica",60
"15","S02","Red ash","Fraxinus pennsylvanica",49
"16","S03","Norway maple","Acer platanoides",40
"17","S03","Silver maple","Acer saccharinum",69
"18","S03","Norway maple","Acer platanoides",73
"19","S03","Blue beech","Carpinus caroliniana",5
"20","S03","Morton elm","Ulmus x 'Morton'",5
"21","S04","Skyline honey locust","Gleditsia triacanthos 'Skyline'",23
"22","S04","Silver maple","Acer saccharinum",81
"23","S04","Silver maple","Acer saccharinum",74
"24","S04","Silver maple","Acer saccharinum",84
"25","S04","Western catalpa","Catalpa speciosa",5
"26","S04","Norway maple","Acer platanoides",64
"27","S05","Norway maple","Acer platanoides",38
"28","S05","Norway maple","Acer platanoides",22
"29","S05","Ginkgo","Ginkgo biloba",5
"30","S05","Cumulus Allegheny serviceberry","Amelanchier laevis 'Cumulus'",5
"31","S05","Norway maple","Acer platanoides",16
"32","S05","Common buckeye","Aesculus octandra",5
"33","S05","Celebration maple","Acer x freemanii Celebration",5
"34","S06","English oak","Quercus robur",5
"35","S06","European linden","Tilia cordata",53
"36","S06","Norway maple","Acer platanoides",50
"37","S06","European linden","Tilia cordata",84
"38","S06","Common hackberry","Celtis occidentalis",27
"39","S06","European linden","Tilia cordata",74
"40","S07","Basswood","Tilia americana",54
"41","S07","Blue spruce","Picea pungens",47
"42","S07","Silver maple","Acer saccharinum",105
"43","S07","Silver maple","Acer saccharinum",79
"44","S07","Silver maple","Acer saccharinum",83
"45","S07","Silver maple","Acer saccharinum",79
"46","S07","Silver maple","Acer saccharinum",87
"47","S08","Autumn blaze maple","Acer x freemanii 'Autumn Blaze'",36
