,Yard.Code,Species.Code,Species.Latin,DBH.Round,Index
88,Y03,CHNO,Chamaecyparis Nootkatensis,12,90
89,Y03,THOC,Thuja Occidentalis,9,91
90,Y03,RHTY,Rhus Typhina,18,92
91,Y03,THOC,Thuja Occidentalis,5,93
92,Y03,CTCO,Cotinus Coggygria,21,94
93,Y03,THOC,Thuja Occidentalis,12,95
94,Y03,THOC,Thuja Occidentalis,40,96
95,Y03,THOC,Thuja Occidentalis,7,97
96,Y03,THOC,Thuja Occidentalis,5,98
97,Y03,SYVU,Syngria Vulgaris,5,99
98,Y03,LIAM,Linnaea Amabilis,14,100
99,Y03,RHTY,Rhus Typhina,8,101
422,Y04,ACPA,Acer Palmatum,8,424
423,Y04,ACPA,Acer Palmatum,6,425
424,Y04,ACPL,Acer Platanoides,20,426
425,Y04,ACNE,Acer Negundo,36,427
426,Y04,ACPL,Acer Platanoides,105,428
427,Y04,RHCA,Rhamnus Cathartica,5,429
428,Y04,ACPL,Acer Platanoides,16,430
429,Y04,ACPL,Acer Platanoides,5,431
430,Y04,ACPL,Acer Platanoides,79,432
431,Y04,ULAM,Ulmus Americana,13,433
432,Y04,ACNE,Acer Negundo,66,434
433,Y04,ACNE,Acer Negundo,34,435
434,Y04,ACNE,Acer Negundo,53,436
435,Y04,SYVU,Syringa Vulgaris,18,437
436,Y04,SYVU,Syringa Vulgaris,12,438
437,Y04,SYVU,Syringa Vulgaris,25,439
438,Y04,ACPA,Acer Palmatum,9,440
1,Y06,ACPL,Acer Platanoides,16,1
2,Y06,ACPL,Acer Platanoides,21,2
3,Y06,ACPL,Acer Platanoides,14,3
4,Y06,THOC,Thuja Occidentalis,6,4
5,Y06,THOC,Thuja Occidentalis,6,5
6,Y06,THOC,Thuja Occidentalis,6,6
7,Y06,THOC,Thuja Occidentalis,6,7
8,Y06,THOC,Thuja Occidentalis,7,8
9,Y06,THOC,Thuja Occidentalis,5,9
10,Y06,THOC,Thuja Occidentalis,9,10
11,Y06,THOC,Thuja Occidentalis,5,11
12,Y06,THOC,Thuja Occidentalis,7,12
13,Y06,THOC,Thuja Occidentalis,8,13
14,Y06,THOC,Thuja Occidentalis,9,14
15,Y06,THOC,Thuja Occidentalis,5,15
16,Y06,THOC,Thuja Occidentalis,5,16
17,Y06,THOC,Thuja Occidentalis,7,17
18,Y06,THOC,Thuja Occidentalis,5,18
19,Y06,THOC,Thuja Occidentalis,6,19
20,Y06,THOC,Thuja Occidentalis,7,21
21,Y06,THOC,Thuja Occidentalis,7,22
22,Y06,SYVU,Syringa Vulgaris,16,23
23,Y06,SYVU,Syngria Vulgaris,16,24
193,Y07,MOAL,Morus Alba,18,195
55,Y09,ACPL,Acer Platanoides,26,56
56,Y09,TICO,TIlia Cordata,8,57
57,Y09,SYVU,Syringa Vulgaris,36,58
58,Y09,THOC,Thuja Occidentalis,10,59
59,Y09,THOC,Thuja Occidentalis,15,60
60,Y09,THOC,Thuja Occidentalis,8,61
601,Y13,THOC,Thuja Occidentalis,8,603
602,Y13,THOC,Thuja Occidentalis,9,604
603,Y13,ACSA,Acer Saccharinum,135,605
604,Y13,EUAL,Euonymous Alatus,20,606
605,Y13,EUAL,Euonymous Alatus,21,607
606,Y13,MGXXSU,Magnolia 'Susan',30,608
607,Y13,MGXXSU,Magnolia 'Susan',17,609
608,Y13,TACA,Taxus Canadensis,13,610
609,Y13,PIAB,Picea Abies,5,611
610,Y13,CTCO,Cotinus Coggygria,30,612
611,Y13,THOC,Thuja Occidentalis,8,613
612,Y13,TACA,Taxus Canadensis,11,614
613,Y13,ACPA,Acer Palmatum,36,615
614,Y13,CHNO,Chamaecyparis Nootkatensis,12,616
615,Y13,ACPA,Acer Palmatum,7,617
616,Y13,ACPA,Acer Palmatum,8,618
617,Y13,SYRE,Syringa Reticulata,36,619
618,Y13,THOC,Thuja Occidentalis,10,620
619,Y13,THOC,Thuja Occidentalis,6,621
620,Y13,THOC,Thuja Occidentalis,7,622
621,Y13,CHPI,Chamaecyparis Pisifera,4,623
622,Y13,TACA,Taxus Canadensis,5,624
623,Y13,THOC,Thuja Occidentalis,5,625
624,Y13,THOC,Thuja Occidentalis,4,626
625,Y13,THOC,Thuja Occidentalis,5,627
626,Y13,THOC,Thuja Occidentalis,8,628
627,Y13,THOC,Thuja Occidentalis,7,629
628,Y13,GIBI,Gingko Biloba,23,630
233,Y18,ULPU,Ulmus Pumila,69,235
234,Y18,ACPL,Acer Platanoides,33,236
235,Y18,THOC,Thuja Occidentalis,8,237
236,Y18,THOC,Thuja Occidentalis,29,238
237,Y18,PIGL,Picea Glauca,45,239
238,Y18,PIRU,Picea Rubens,45,240
239,Y18,SYRE,Syringa Reticulata,18,241
240,Y18,MASY,Malus Sylvestris,35,242
241,Y18,CEOC,Celtis Occidentalis,9,243
242,Y18,FRAM,Fraxinus Americana,60,244
243,Y18,PIPU,Picea Pungens,27,245
244,Y18,TACA,Taxus Canadensis,18,246
245,Y18,THOC,Thuja Occidentalis,16,247
246,Y18,THOC,Thuja Occidentalis,38,248
247,Y18,THOC,Thuja Occidentalis,23,249
248,Y18,AMCA,Canadian Serviceberry,16,250
249,Y18,THOC,Thuja Occidentalis,11,251
250,Y18,THOC,Thuja Occidentalis,10,252
251,Y18,THOC,Thuja Occidentalis,10,253
252,Y18,THOC,Thuja Occidentalis,10,254
253,Y18,THOC,Thuja Occidentalis,6,255
254,Y18,THOC,Thuja Occidentalis,12,256
255,Y18,THOC,Thuja Occidentalis,9,257
256,Y18,THOC,Thuja Occidentalis,9,258
257,Y18,THOC,Thuja Occidentalis,9,259
258,Y18,THOC,Thuja Occidentalis,9,260
259,Y18,THOC,Thuja Occidentalis,11,261
260,Y18,THOC,Thuja Occidentalis,12,262
261,Y18,THOC,Thuja Occidentalis,17,263
262,Y18,THOC,Thuja Occidentalis,7,264
144,Y20,CAAR,"Caragana Arborescens ""pendula""",6,146
145,Y20,CTCO,"Cotinus ""Royal Purple""",5,147
